actual,proposed
-2.359522581100464,-1.4979541301727295
-2.385394811630249,-1.5144603252410889
-2.385394811630249,-1.515285611152649
-2.405325412750244,-1.5218405723571777
-2.405325412750244,-1.5275975465774536
-2.435901403427124,-1.5278854370117188
-2.435901403427124,-1.5462177991867065
-2.4462757110595703,-1.5532394647598267
-2.4462757110595703,-1.5535905361175537
-2.4664928913116455,-1.5664373636245728
-2.4867100715637207,-1.5785750150680542
-2.4364168643951416,-1.5791804790496826
-2.4413390159606934,-1.5520412921905518
-2.461027145385742,-1.550614833831787
-2.4211599826812744,-1.5624032020568848
-2.425973415374756,-1.5409148931503296
-2.4356002807617188,-1.5466890335083008
-2.3856430053710938,-1.5170458555221558
-2.3856430053710938,-1.5154895782470703
-2.3903391361236572,-1.5183000564575195
-2.4044275283813477,-1.5184406042099
-2.3548953533172607,-1.4972044229507446
-2.359459161758423,-1.4961426258087158
-2.362006902694702,-1.498825192451477
-2.362006902694702,-1.5010402202606201
-2.3935000896453857,-1.5086870193481445
-2.405705451965332,-1.5280917882919312
-2.4010729789733887,-1.5197421312332153
-2.418503522872925,-1.52494478225708
-2.418503522872925,-1.5356484651565552
-2.43593430519104,-1.5466256141662598
-2.386211395263672,-1.5159224271774292
-2.3989944458007812,-1.5158480405807495
-2.4032557010650635,-1.5238873958587646
-2.3497300148010254,-1.526459813117981
-2.3497300148010254,-1.5265884399414062
-2.353895902633667,-1.4929118156433105
-2.353895902633667,-1.4953289031982422
-2.319629192352295,-1.471304178237915
-2.319629192352295,-1.47370445728302
-2.323727607727051,-1.4764107465744019
-2.284560441970825,-1.4764171838760376
-2.284560441970825,-1.452928900718689
-2.284560441970825,-1.4516957998275757
-2.284560441970825,-1.451692819595337
-2.2925684452056885,-1.4469796419143677
-2.2925684452056885,-1.4567241668701172
-2.232367753982544,-1.4567474126815796
-2.243894577026367,-1.4206335544586182
-2.243894577026367,-1.4256540536880493
-2.243894577026367,-1.4259953498840332
-2.243894577026367,-1.426012396812439
-2.1834311485290527,-1.3897260427474976
-2.2019660472869873,-1.3989466428756714
-2.2344064712524414,-1.4193073511123657
-2.1991617679595947,-1.3955520391464233
-2.1991617679595947,-1.397645354270935
-2.2027432918548584,-1.3999050855636597
-2.1093342304229736,-1.343927264213562
-2.10244083404541,-1.3368479013442993
-2.08520770072937,-1.326270341873169
-2.056229591369629,-1.3062993288040161
-2.056229591369629,-1.3053008317947388
-2.0458121299743652,-1.3094350099563599
-2.049165964126587,-1.3028250932693481
-2.049165964126587,-1.3029248714447021
-2.0185787677764893,-1.3029298782348633
-2.0185787677764893,-1.2845473289489746
-2.0317718982696533,-1.2836281061172485
-2.0482635498046875,-1.2915117740631104
-2.0233428478240967,-1.2919059991836548
-2.0233428478240967,-1.301836609840393
-2.0363337993621826,-1.2944399118423462
-2.05257248878479,-1.2947940826416016
-1.9922449588775635,-1.2669215202331543
-1.909875750541687,-1.2173832654953003
-1.915834665298462,-1.2149065732955933
-1.9188143014907837,-1.2183672189712524
-1.8513633012771606,-1.2185401916503906
-1.854224681854248,-1.1778208017349243
-1.794943928718567,-1.179445743560791
-1.794943928718567,-1.1438465118408203
-1.8032411336898804,-1.1453074216842651
-1.8032411336898804,-1.1471344232559204
-1.8049132823944092,-1.1472257375717163
-1.8049132823944092,-1.1482369899749756
-1.813205361366272,-1.1482875347137451
-1.8187334537506104,-1.1568586826324463
-1.8187334537506104,-1.13882577419281
-1.8035551309585571,-1.1420940160751343
-1.8286291360855103,-1.1471627950668335
-1.8111987113952637,-1.1642509698867798
-1.7838815450668335,-1.1364269256591797
-1.7838815450668335,-1.1349661350250244
